16.93,0.000849397
21.54,0.00139239
26.16,0.001175193
30.78,0.001718186
35.40,0.001881084
40.01,0.001066594
44.63,0.000740798
49.25,0.00144669
53.87,0.001555288
58.48,0.001066594
63.10,0.001175193
67.72,0.00310282
72.33,0.005253074
76.95,0.011437769
81.57,0.019202575
85.35,0.029659078
87.87,0.042714192
90.03,0.057546962
91.43,0.074072063
92.48,0.084524687
94.28,0.11703448
95.21,0.140371563
96.05,0.162670493
97.19,0.191304348
98.53,0.222977155
98.78,0.239920361
99.20,0.251766668
99.50,0.263200559
99.83,0.284468448
100.32,0.301541067
100.46,0.319061656
100.88,0.330848233
100.98,0.342853818
101.47,0.355456696
101.55,0.369433348
101.89,0.383887833
102.25,0.397940503
103.38,0.417162471
103.94,0.439588101
104.87,0.478240184
106.50,0.519831672
107.59,0.537471719
108.64,0.552204941
110.32,0.565494706
112.29,0.579560951
114.23,0.590670597
114.63,0.609382151
116.89,0.644622426
119.70,0.665446224
122.49,0.682315221
127.26,0.704827064
130.52,0.70502159
134.88,0.677516969
138.24,0.663192801
142.85,0.672477989
147.47,0.665310476
150.58,0.669632704
151.25,0.681419281
152.35,0.70389016
154.03,0.721510297
155.16,0.729519451
156.70,0.726397238
159.10,0.723112128
161.32,0.716677656
165.94,0.708728232
170.56,0.699225846
173.73,0.689473684
176.22,0.673306054
177.62,0.658821704
179.58,0.643441415
181.68,0.629056614
185.25,0.623174185
188.35,0.616832021
189.24,0.602153551
189.61,0.587325757
190.29,0.566340871
190.84,0.544340586
190.91,0.518159252
191.12,0.528512327
191.75,0.478737928
192.14,0.399411757
192.22,0.457952139
192.28,0.426773455
192.38,0.44130758
192.80,0.417216771
193.12,0.366446884
193.22,0.381578301
193.54,0.331953225
193.73,0.349483768
194.15,0.314124035
194.34,0.298554603
194.38,0.270581391
194.48,0.285613259
194.90,0.257341401
195.11,0.242657953
195.32,0.225784432
195.60,0.211947149
196.86,0.167349287
197.11,0.182779351
197.17,0.152616065
197.84,0.136403832
197.84,0.118072632
199.16,0.080855603
199.60,0.062066478
200.61,0.045939573
201.69,0.034152995
202.21,0.021450568
205.56,0.003825836
206.17,0.013486664
210.85,0.004351705
215.47,0.00226118
220.09,0.001500989
224.71,0.000903696
229.32,0.001012295
233.94,0.001500989
238.56,0.001500989
243.17,0.001175193
246.95,0.001330334
