Wavelength,ZnS 6.25-12.5µm (MIRMIS),CdTe 12.5-25µm (MIRMIS),Mesh 25-50µm (MIRMIS),Mesh 50-100µm (MIRMIS),Mesh 100-200µm (Cardiff),Low-pass 200µm (model),8.5-9.2µm (model filter),6.6-8.2µm (model filter),NaCl Spectrum
17.3,1.34E-07,76.2189598,0.080513665,2.19E-06,0.089297778,0,0,0,0
17.31,1.29E-07,76.0244963,0.080560469,4.24E-06,0.089415564,0,0,0,0
17.32,1.24E-07,75.6076235,0.080611161,5.27E-06,0.08953335,0,0,0,0
17.33,1.19E-07,75.5002288,0.080660271,6.35E-06,0.089651136,0,0,0,0
17.34,1.14E-07,76.471188,0.080685033,7.79E-06,0.089768922,0,0,0,0
17.35,1.10E-07,76.9184507,0.080675668,8.98E-06,0.089886708,0,0,0,0
17.36,1.06E-07,76.8796557,0.080668146,1.98E-06,0.090004494,0,0,0,0
17.37,1.02E-07,75.7311336,0.080702084,8.84E-06,0.09012228,0,0,0,0
17.38,9.83E-08,75.6247916,0.080775778,2.03E-05,0.090240066,0,0,0,0
17.39,9.46E-08,76.2419907,0.080855456,2.30E-05,0.090357851,0,0,0,0
17.4,9.10E-08,76.8439068,0.080922383,1.37E-05,0.090475637,0,0,0,0
17.41,8.75E-08,77.0382017,0.080979721,1.38E-06,0.090593423,0,0,0,0
17.42,8.41E-08,76.1873881,0.081030213,1.53E-05,0.090711209,0,0,0,0
17.43,8.06E-08,75.8511268,0.08105299,1.83E-05,0.090828995,0,0,0,0
17.44,7.72E-08,76.0252637,0.081060629,1.77E-05,0.090946781,0,0,0,0
17.45,7.37E-08,77.3878426,0.081060595,1.58E-05,0.091064567,0,0,0,0
17.46,7.03E-08,77.776667,0.081072759,1.62E-05,0.091182353,0,0,0,0
17.47,6.69E-08,77.1655148,0.081095458,1.47E-05,0.091300139,0,0,0,0
17.48,6.35E-08,76.7778706,0.08113472,1.05E-05,0.091417925,0,0,0,0
17.49,6.03E-08,77.3799049,0.081207321,5.81E-06,0.09153571,0,0,0,0
17.5,5.71E-08,78.0999005,0.081281056,4.23E-06,0.091653496,0,0,0,0
17.51,5.40E-08,78.5681159,0.081341425,6.68E-06,0.091771282,0,0,0,0
17.52,5.13E-08,78.5431378,0.081380645,9.55E-06,0.091889068,0,0,0,0
17.53,4.88E-08,77.7481362,0.081429693,9.41E-06,0.092006854,0,0,0,0
17.54,4.62E-08,77.7345048,0.081500506,6.48E-06,0.09212464,0,0,0,0
17.55,4.43E-08,78.1931889,0.081557748,2.65E-06,0.092242426,0,0,0,0
17.56,4.27E-08,79.3776029,0.081600548,3.13E-07,0.092360212,0,0,0,0
17.57,4.11E-08,79.4353396,0.081625088,1.97E-06,0.092477998,0,0,0,0
17.58,4.00E-08,79.1168223,0.081666403,2.55E-06,0.092595784,0,0,0,0
17.59,3.94E-08,78.7526546,0.081710266,3.31E-06,0.092713569,0,0,0,0
17.6,3.87E-08,79.2015768,0.081755713,4.15E-06,0.092831355,0,0,0,0
17.61,3.84E-08,79.9149314,0.081783774,6.14E-06,0.092949141,0,0,0,0
17.62,3.84E-08,80.7187403,0.081808112,7.63E-06,0.093066927,0,0,0,0
17.63,3.84E-08,80.5275002,0.081829128,8.27E-06,0.093184713,0,0,0,0
17.64,3.85E-08,80.2210861,0.081885597,2.24E-06,0.093302499,0,0,0,0
17.65,3.86E-08,80.4817212,0.081953325,4.23E-06,0.093420285,0,0,0,0
17.66,3.87E-08,81.1065617,0.082032499,9.93E-06,0.093538071,0,0,0,0
17.67,3.87E-08,81.7123312,0.082065993,9.65E-06,0.093655857,0,0,0,0
17.68,3.84E-08,81.9696816,0.082092063,8.36E-06,0.093773643,0,0,0,0
17.69,3.81E-08,81.7580074,0.0821117,6.44E-06,0.093891428,0,0,0,0
17.7,3.77E-08,81.6764914,0.082140958,5.49E-06,0.094009214,0,0,0,0
17.71,3.65E-08,82.3937597,0.082155288,5.09E-06,0.094127,0,0,0,0
17.72,3.53E-08,82.9047008,0.082149455,5.09E-06,0.094244786,0,0,0,0
17.73,3.41E-08,83.1957358,0.082153077,5.48E-06,0.094362572,0,0,0,0
17.74,3.22E-08,83.020201,0.082178629,4.84E-06,0.094480358,0,0,0,0
17.75,3.03E-08,82.9300936,0.082234853,3.39E-06,0.094598144,0,0,0,0
17.76,2.83E-08,83.0910679,0.082288987,1.38E-06,0.09471593,0,0,0,0
17.77,2.61E-08,83.9409546,0.082326961,4.66E-10,0.094833716,0,0,0,0
17.78,2.38E-08,84.2434002,0.082337973,9.97E-07,0.094951502,0,0,0,0
17.79,2.14E-08,84.3062878,0.082350321,2.58E-06,0.095069287,0,0,0,0
17.8,1.93E-08,84.1359328,0.082378385,3.70E-06,0.095187073,0,0,0,0
17.81,1.73E-08,84.2368382,0.082438796,4.06E-06,0.095304859,0,0,0,0
17.82,1.52E-08,84.5341887,0.082479215,1.83E-06,0.095422645,0,0,0,0
17.83,1.35E-08,85.2146896,0.082504932,1.25E-06,0.095540431,0,0,0,0
17.84,1.21E-08,85.3381047,0.082504187,4.68E-06,0.095658217,0,0,0,0
17.85,1.06E-08,85.3149454,0.082528408,7.07E-06,0.095776003,0,0,0,0
17.86,9.38E-09,85.2714409,0.082556705,7.77E-06,0.095893789,0,0,0,0
17.87,8.53E-09,85.5411856,0.082564577,7.42E-06,0.096011575,0,0,0,0
17.88,7.68E-09,85.82252,0.082562331,3.92E-06,0.096129361,0,0,0,0
17.89,6.86E-09,86.0606797,0.082559543,1.70E-06,0.096247146,0,0,0,0
17.9,6.25E-09,86.1663959,0.082591675,8.54E-06,0.096364932,0,0,0,0
17.91,5.65E-09,86.1060474,0.082618815,1.32E-05,0.096482718,0,0,0,0
17.92,5.05E-09,86.0754852,0.082642376,1.62E-05,0.096600504,0,0,0,0
17.93,4.47E-09,86.1181983,0.082669708,1.54E-05,0.09671829,0,0,0,0
17.94,3.89E-09,86.3411284,0.082694381,1.16E-05,0.096836076,0,0,0,0
17.95,3.31E-09,86.4226613,0.082716172,6.08E-06,0.096953862,0,0,0,0
17.96,2.77E-09,86.4431885,0.082724209,9.53E-07,0.097071648,0,0,0,0
17.97,2.25E-09,86.3758408,0.082740521,6.31E-06,0.097189434,0,0,0,0
17.98,1.73E-09,86.3653891,0.082772434,1.07E-05,0.09730722,0,0,0,0
17.99,1.29E-09,86.4051939,0.08279306,9.94E-06,0.097425005,0,0,0,0
18,1.89E-09,86.4870041,0.082807501,6.79E-06,0.097542791,0,0,0,0
18.01,1.20E-09,86.6310399,0.082811398,1.18E-06,0.097660577,0,0,0,0
18.02,5.66E-10,86.6171815,0.08282423,3.03E-06,0.097778363,0,0,0,0
18.03,1.26E-10,86.5347467,0.082838388,5.70E-06,0.097896149,0,0,0,0
18.04,0,86.3307787,0.082835353,6.65E-06,0.098013935,0,0,0,0
18.05,0,86.3090582,0.082824049,5.86E-06,0.098131721,0,0,0,0
18.06,0,86.3514235,0.082806322,4.03E-06,0.098249507,0,0,0,0
18.07,0,86.4028304,0.082798874,3.70E-07,0.098367293,0,0,0,0
18.08,0,86.2620058,0.082796765,2.74E-06,0.098485079,0,0,0,0
18.09,0,86.0402438,0.082801941,5.13E-06,0.098602864,0,0,0,0
18.1,0,85.7992473,0.082830701,5.07E-06,0.09872065,0,0,0,0
18.11,0,85.6301846,0.082861915,4.33E-06,0.098838436,0,0,0,0
18.12,0,85.6136145,0.082887785,2.75E-06,0.098956222,0,0,0,0
18.13,0,85.631186,0.082874112,6.80E-07,0.099074008,0,0,0,0
18.14,0,85.5343973,0.082841865,1.99E-06,0.099191794,0,0,0,0
18.15,0,85.0224042,0.082807394,3.54E-06,0.09930958,0,0,0,0
18.16,0,84.8294535,0.082779115,2.95E-06,0.099427366,0,0,0,0
18.17,0,84.8151979,0.082756736,7.55E-07,0.099545152,0,0,0,0
18.18,0,84.9482202,0.082727307,3.96E-07,0.099662938,0,0,0,0
18.19,0,85.072806,0.082717849,7.09E-07,0.099780723,0,0,0,0
18.2,0,84.8458421,0.082750172,1.79E-06,0.099898509,0,0,0,0
18.21,0,84.4884638,0.082797941,3.44E-07,0.100016295,0,0,0,0
18.22,0,84.1702016,0.082840184,1.05E-06,0.100134081,0,0,0,0
18.23,0,84.041359,0.082812089,1.82E-06,0.100251867,0,0,0,0
18.24,0,84.0748241,0.082773772,1.42E-06,0.100369653,0,0,0,0
18.25,0,83.9364274,0.082726588,7.82E-07,0.100487439,0,0,0,0
18.26,0,83.5458171,0.08272821,3.31E-07,0.100605225,0,0,0,0
18.27,0,82.5507237,0.082730655,8.44E-08,0.100723011,0,0,0,0
18.28,0,82.374952,0.082727379,7.73E-09,0.100840797,0,0,0,0
18.29,0,82.4953801,0.082699071,3.85E-08,0.100958582,0,0,0,0
18.3,0,82.7209017,0.082663144,9.80E-08,0.101076368,0,0,0,0
18.31,0,82.5127496,0.082647363,8.44E-07,0.101194154,0,0,0,0
18.32,0,81.9939287,0.082629373,2.29E-06,0.10131194,0,0,0,0
18.33,0,81.4807729,0.082609071,3.16E-06,0.101429726,0,0,0,0
18.34,0,81.2255555,0.0825599,1.63E-06,0.101547512,0,0,0,0
18.35,0,81.2846428,0.082511576,5.04E-07,0.101665298,0,0,0,0
18.36,0,81.4851322,0.082478711,7.63E-08,0.101783084,0,0,0,0
18.37,0,81.1480535,0.082456119,2.87E-08,0.10190087,0,0,0,0
18.38,2.06E-09,80.5361343,0.082439664,5.64E-08,0.102018656,0,0,0,0
18.39,4.78E-09,79.9378031,0.082411129,1.06E-07,0.102136441,0,0,0,0
18.4,7.61E-09,79.7395089,0.082383012,2.62E-07,0.102254227,0,0,0,0
18.41,1.25E-08,80.0276866,0.082355618,2.43E-07,0.102372013,0,0,0,0
18.42,1.56E-08,80.17767,0.082344993,1.97E-07,0.102489799,0,0,0,0
18.43,1.83E-08,79.9594341,0.082340567,1.09E-06,0.102607585,0,0,0,0
18.44,2.09E-08,78.8331078,0.082338192,2.37E-06,0.102725371,0,0,0,0
18.45,2.74E-08,78.546113,0.082321144,3.08E-06,0.102843157,0,0,0,0
18.46,2.82E-08,78.6839856,0.082287164,3.18E-06,0.102960943,0,0,0,0
18.47,2.90E-08,79.0696685,0.082250897,2.57E-06,0.103078729,0,0,0,0
18.48,2.97E-08,79.334055,0.08221189,2.08E-06,0.103196515,0,0,0,0
18.49,3.31E-08,78.5841158,0.082162585,1.93E-06,0.1033143,0,0,0,0
18.5,3.09E-08,77.8520106,0.082097661,1.92E-06,0.103432086,0,0,0,0
18.51,2.88E-08,77.3770299,0.082019017,1.94E-06,0.103549872,0,0,0,0
18.52,2.63E-08,77.3755057,0.081967467,2.11E-06,0.103667658,0,0,0,0
18.53,2.46E-08,77.724771,0.081927209,2.47E-06,0.103785444,0,0,0,0
18.54,1.96E-08,77.9827717,0.081912717,2.77E-06,0.10390323,0,0,0,0
18.55,1.46E-08,77.4532257,0.081886586,2.44E-06,0.104021016,0,0,0,0
18.56,9.09E-09,76.7270282,0.081851818,1.61E-06,0.104138802,0,0,0,0
18.57,3.32E-09,76.2306931,0.081784214,9.14E-07,0.104256588,0,0,0,0
18.58,0,76.2416083,0.081710806,4.84E-07,0.104374374,0,0,0,0
18.59,0,77.1869748,0.081629258,4.73E-07,0.104492159,0,0,0,0
18.6,0,77.3373366,0.08156095,1.31E-06,0.104609945,0,0,0,0
18.61,0,76.9882213,0.081501879,2.80E-06,0.104727731,0,0,0,0
18.62,0,76.3556841,0.08146817,6.10E-06,0.104845517,0,0,0,0
18.63,0,75.8380639,0.081432848,1.00E-05,0.104963303,0,0,0,0
18.64,0,76.2740474,0.081386243,1.39E-05,0.105081089,0,0,0,0
18.65,0,76.8354765,0.081319346,1.48E-05,0.105198875,0,0,0,0
18.66,0,77.0942451,0.081237581,1.39E-05,0.105316661,0,0,0,0
18.67,0,76.8348411,0.08116538,9.20E-06,0.105434447,0,0,0,0
18.68,0,76.2097395,0.081093519,5.67E-06,0.105552233,0,0,0,0
18.69,0,75.4923174,0.081019131,3.80E-06,0.105670018,0,0,0,0
18.7,7.90E-10,75.864743,0.080930045,5.30E-06,0.105787804,0,0,0,0
18.71,1.10E-08,76.4655583,0.080828345,8.62E-06,0.10590559,0,0,0,0
18.72,2.11E-08,76.8471333,0.080733791,1.32E-05,0.106023376,0,0,0,0
18.73,3.17E-08,76.7208159,0.080635952,1.57E-05,0.106141162,0,0,0,0
18.74,4.30E-08,75.5802587,0.080515002,1.45E-05,0.106258948,0,0,0,0
18.75,5.98E-08,75.3919933,0.080376749,1.31E-05,0.106376734,0,0,0,0
18.76,7.23E-08,75.7527964,0.080219132,1.18E-05,0.10649452,0,0,0,0
18.77,8.16E-08,76.4221362,0.080080571,1.18E-05,0.106612306,0,0,0,0
18.78,9.02E-08,76.9393944,0.079947738,1.06E-05,0.106730092,0,0,0,0
18.79,9.88E-08,76.954172,0.079817918,8.41E-06,0.106847877,0,0,0,0
18.8,1.05E-07,75.8825105,0.07968417,5.63E-06,0.106965663,0,0,0,0
18.81,1.07E-07,75.6242504,0.079543958,2.78E-06,0.107083449,0,0,0,0
18.82,1.09E-07,75.9293222,0.079407614,1.30E-06,0.107201235,0,0,0,0
18.83,1.20E-07,76.6253062,0.07927314,2.43E-07,0.107319021,0,0,0,0
18.84,1.17E-07,77.2658408,0.07910459,4.47E-07,0.107436807,0,0,0,0
18.85,1.12E-07,77.4481054,0.078932455,9.77E-07,0.107554593,0,0,0,0
18.86,1.07E-07,76.529099,0.078753321,1.17E-06,0.107672379,0,0,0,0
18.87,1.02E-07,76.2072968,0.078600536,4.87E-08,0.107790165,0,0,0,0
18.88,9.33E-08,76.4302758,0.078469923,1.85E-06,0.107907951,0,0,0,0
18.89,8.50E-08,77.1118632,0.078364363,1.64E-06,0.108025736,0,0,0,0
18.9,7.67E-08,77.8481236,0.078266951,4.84E-07,0.108143522,0,0,0,0
18.91,6.87E-08,78.2069569,0.078193689,3.45E-06,0.108261308,0,0,0,0
18.92,5.57E-08,77.5426925,0.078125586,4.93E-06,0.108379094,0,0,0,0
18.93,4.84E-08,77.1810999,0.078065755,4.10E-06,0.10849688,0,0,0,0
18.94,4.13E-08,77.289881,0.078009446,9.00E-07,0.108614666,0,0,0,0
18.95,3.63E-08,77.8779333,0.077954967,7.09E-06,0.108732452,0,0,0,0
18.96,3.14E-08,78.6193424,0.077957229,1.01E-05,0.108850238,0,0,0,0
18.97,2.65E-08,79.0890892,0.077971542,1.14E-05,0.108968024,0,0,0,0
18.98,2.30E-08,78.6701361,0.078017352,8.57E-06,0.10908581,0,0,0,0
18.99,2.12E-08,78.293115,0.078050976,6.48E-06,0.109203595,0,0,0,0
19,1.94E-08,78.2952174,0.078070378,4.98E-06,0.109321381,0,0,0,0
19.01,1.60E-08,78.7670083,0.078077208,5.94E-06,0.109439167,0,0,0,0
19.02,1.71E-08,79.4759799,0.078087599,7.55E-06,0.109556953,0,0,0,0
19.03,1.86E-08,80.0452312,0.078153609,1.07E-05,0.109674739,0,0,0,0
19.04,2.02E-08,80.2252195,0.078233114,1.35E-05,0.109792525,0,0,0,0
19.05,2.24E-08,79.8447314,0.078346364,1.53E-05,0.109910311,0,0,0,0
19.06,2.70E-08,79.8980882,0.078460273,1.52E-05,0.110028097,0,0,0,0
19.07,3.16E-08,80.3385251,0.078573659,1.38E-05,0.110145883,0,0,0,0
19.08,3.62E-08,80.9992349,0.078661501,1.32E-05,0.110263669,0,0,0,0
19.09,4.20E-08,81.5553644,0.078741657,1.29E-05,0.110381454,0,0,0,0
19.1,4.85E-08,81.7576912,0.078795468,1.46E-05,0.11049924,0,0,0,0
19.11,5.50E-08,81.6061714,0.0788515,1.61E-05,0.110617026,0,0,0,0
19.12,6.16E-08,81.2719329,0.078907491,1.79E-05,0.110734812,0,0,0,0
19.13,6.79E-08,81.553723,0.078971065,1.99E-05,0.110852598,0,0,0,0
19.14,6.68E-08,82.093046,0.079039371,2.21E-05,0.110970384,0,0,0,0
19.15,7.25E-08,82.6203995,0.079112302,2.26E-05,0.11108817,0,0,0,0
19.16,7.76E-08,82.8856644,0.079187517,2.23E-05,0.111205956,0,0,0,0
19.17,8.12E-08,82.8293505,0.079257636,2.03E-05,0.111323742,0,0,0,0
19.18,8.49E-08,82.6131198,0.079333593,1.88E-05,0.111441528,0,0,0,0
19.19,8.85E-08,82.4966657,0.079416242,1.99E-05,0.111559313,0,0,0,0
19.2,9.05E-08,83.071965,0.0795242,2.22E-05,0.111677099,0,0,0,0
19.21,9.14E-08,83.5624544,0.079660184,2.60E-05,0.111794885,0,0,0,0
19.22,9.23E-08,83.921998,0.079795108,3.10E-05,0.111912671,0,0,0,0
19.23,9.32E-08,84.065926,0.079927401,3.68E-05,0.112030457,0,0,0,0
19.24,9.24E-08,84.0768346,0.080014483,4.32E-05,0.112148243,0,0,0,0
19.25,9.16E-08,84.127487,0.080094755,4.81E-05,0.112266029,0,0,0,0
19.26,9.07E-08,84.3420363,0.080207502,4.40E-05,0.112383815,0,0,0,0
19.27,9.97E-08,84.7016069,0.080339919,3.56E-05,0.112501601,0,0,0,0
19.28,9.84E-08,85.2675829,0.080519883,1.97E-05,0.112619387,0,0,0,0
19.29,9.71E-08,85.2629988,0.080703727,6.74E-06,0.112737172,0,0,0,0
19.3,9.58E-08,85.1355716,0.080886265,4.07E-06,0.112854958,0,0,0,0
19.31,9.47E-08,85.0473722,0.081067745,3.32E-06,0.112972744,0,0,0,0
19.32,9.39E-08,85.1227117,0.081247859,8.05E-07,0.11309053,0,0,0,0
19.33,1.02E-07,85.3708402,0.081420611,6.57E-06,0.113208316,0,0,0,0
19.34,1.02E-07,85.6942235,0.081590092,1.03E-05,0.113326102,0,0,0,0
19.35,1.01E-07,85.9661056,0.081731554,2.91E-06,0.113443888,0,0,0,0
19.36,1.00E-07,86.1158248,0.08186389,9.33E-06,0.113561674,0,0,0,0
19.37,9.96E-08,86.1868605,0.081984151,2.90E-05,0.11367946,0,0,0,0
19.38,1.08E-07,86.2550787,0.082097065,4.52E-05,0.113797246,0,0,0,0
19.39,1.07E-07,86.378516,0.082209955,5.88E-05,0.113915031,0,0,0,0
19.4,1.05E-07,86.5135531,0.082312171,5.48E-05,0.114032817,0,0,0,0
19.41,1.04E-07,86.6071007,0.082409861,4.46E-05,0.114150603,0,0,0,0
19.42,1.02E-07,86.6415464,0.082488526,2.87E-05,0.114268389,0,0,0,0
19.43,1.09E-07,86.6406908,0.082560156,1.47E-05,0.114386175,0,0,0,0
19.44,1.07E-07,86.6389551,0.082605802,2.09E-05,0.114503961,0,0,0,0
19.45,1.05E-07,86.6482172,0.082642882,2.99E-05,0.114621747,0,0,0,0
19.46,1.04E-07,86.6543827,0.082662355,4.48E-05,0.114739533,0,0,0,0
19.47,1.11E-07,86.62613,0.08268399,5.14E-05,0.114857319,0,0,0,0
19.48,1.10E-07,86.6310226,0.082711914,4.81E-05,0.114975105,0,0,0,0
19.49,1.09E-07,86.6740856,0.082729157,3.77E-05,0.11509289,0,0,0,0
19.5,1.10E-07,86.733942,0.08273987,2.34E-05,0.115210676,0,0,0,0
19.51,1.20E-07,86.7621206,0.082703126,1.78E-06,0.115328462,0,0,0,0
19.52,1.22E-07,86.7219508,0.082652926,2.22E-05,0.115446248,0,0,0,0
19.53,1.25E-07,86.6221807,0.082579791,5.63E-05,0.115564034,0,0,0,0
19.54,1.30E-07,86.5162614,0.082505937,8.85E-05,0.11568182,0,0,0,0
19.55,1.45E-07,86.4633147,0.082430991,0.000102444,0.115799606,0,0,0,0
19.56,1.52E-07,86.4808419,0.082350602,0.00010464,0.115917392,0,0,0,0
19.57,1.59E-07,86.5267424,0.082257202,8.14E-05,0.116035178,0,0,0,0
19.58,1.78E-07,86.4230966,0.082154566,5.08E-05,0.116152964,0,0,0,0
19.59,1.88E-07,86.2275436,0.082041354,1.30E-05,0.116270749,0,0,0,0
19.6,1.98E-07,86.0079691,0.081914175,2.08E-05,0.116388535,0,0,0,0
19.61,2.20E-07,85.846024,0.081775551,5.16E-05,0.116506321,0,0,0,0
19.62,2.30E-07,85.7762142,0.081642736,6.76E-05,0.116624107,0,0,0,0
19.63,2.40E-07,85.7602056,0.081513432,7.94E-05,0.116741893,0,0,0,0
19.64,2.50E-07,85.7162855,0.081415158,7.22E-05,0.116859679,0,0,0,0
19.65,2.59E-07,85.5829995,0.08132504,6.27E-05,0.116977465,0,0,0,0
19.66,2.65E-07,85.36797,0.081244971,4.46E-05,0.117095251,0,0,0,0
19.67,2.70E-07,85.14473,0.081162798,2.55E-05,0.117213037,0,0,0,0
19.68,2.76E-07,84.9957657,0.081064099,3.41E-06,0.117330823,0,0,0,0
19.69,2.79E-07,84.944628,0.080952471,1.74E-05,0.117448608,0,0,0,0
19.7,2.78E-07,84.9321747,0.080809552,3.58E-05,0.117566394,0,0,0,0
19.71,2.77E-07,84.6635196,0.080647306,4.79E-05,0.11768418,0,0,0,0
19.72,2.76E-07,84.3814019,0.080458905,5.32E-05,0.117801966,0,0,0,0
19.73,2.72E-07,84.1263525,0.080269302,5.43E-05,0.117919752,0,0,0,0
19.74,2.66E-07,84.00762,0.080082747,5.25E-05,0.118037538,0,0,0,0
19.75,2.59E-07,84.0393557,0.079909746,4.65E-05,0.118155324,0,0,0,0
19.76,2.53E-07,84.1175195,0.07974461,3.90E-05,0.11827311,0,0,0,0
19.77,2.45E-07,84.0902984,0.07958715,2.89E-05,0.118390896,0,0,0,0
19.78,2.37E-07,83.8732623,0.079429048,1.85E-05,0.118508682,0,0,0,0
19.79,2.29E-07,83.5193828,0.079275416,1.63E-05,0.118626467,0,0,0,0
19.8,2.21E-07,83.184515,0.079120728,1.46E-05,0.118744253,0,0,0,0
19.81,2.16E-07,83.0093616,0.07896885,1.55E-05,0.118862039,0,0,0,0
19.82,2.12E-07,83.0083403,0.078817088,1.59E-05,0.118979825,0,0,0,0
19.83,2.07E-07,83.0523238,0.078672072,1.48E-05,0.119097611,0,0,0,0
19.84,2.03E-07,82.9635981,0.078526549,1.55E-05,0.119215397,0,0,0,0
19.85,2.05E-07,82.6536081,0.078378486,2.08E-05,0.119333183,0,0,0,0
19.86,2.19E-07,82.1963265,0.078230798,2.64E-05,0.119450969,0,0,0,0
19.87,2.22E-07,81.7783116,0.078082181,3.30E-05,0.119568755,0,0,0,0
19.88,2.25E-07,81.5690392,0.077941794,3.53E-05,0.119686541,0,0,0,0
19.89,2.36E-07,81.6568785,0.077812039,3.30E-05,0.119804326,0,0,0,0
19.9,2.46E-07,81.6312356,0.077682028,3.02E-05,0.119922112,0,0,0,0
19.91,2.57E-07,81.3900405,0.077549258,2.71E-05,0.120039898,0,0,0,0
19.92,2.68E-07,81.0041891,0.077424585,2.89E-05,0.120157684,0,0,0,0
19.93,2.83E-07,80.6697287,0.077305076,3.25E-05,0.12027547,0,0,0,0
19.94,2.97E-07,80.5623046,0.077225795,3.15E-05,0.120393256,0,0,0,0
19.95,3.12E-07,80.6988558,0.077164702,2.91E-05,0.120511042,0,0,0,0
19.96,3.27E-07,80.9088893,0.077125866,1.69E-05,0.120628828,0,0,0,0
19.97,3.41E-07,80.9458014,0.077090968,3.81E-06,0.120746614,0,0,0,0
19.98,3.73E-07,80.6657741,0.077059123,6.60E-06,0.1208644,0,0,0,0
19.99,3.87E-07,80.1453714,0.077026761,1.59E-05,0.120982185,0,0,0,0
20,4.02E-07,79.6433619,0.076997967,1.14E-05,0.121099971,0,0,0,0
20.01,4.29E-07,79.4230889,0.076968999,6.69E-06,0.121217757,0,0,0,0
20.02,4.57E-07,79.5587583,0.076941915,2.16E-06,0.121335543,0,0,0,0
20.03,5.07E-07,79.8723935,0.076914353,9.48E-06,0.121453329,0,0,0,0
20.04,5.36E-07,80.0534414,0.076896751,8.97E-06,0.121571115,0,0,0,0
20.05,5.51E-07,79.8817271,0.076879488,7.25E-06,0.121688901,0,0,0,0
20.06,5.85E-07,79.3913413,0.076859831,8.54E-07,0.121806687,0,0,0,0
20.07,5.98E-07,78.8521979,0.076845288,3.99E-06,0.121924473,0,0,0,0
20.08,6.31E-07,78.5786238,0.076852094,6.09E-06,0.122042259,0,0,0,0
20.09,6.21E-07,78.6999632,0.076864493,7.20E-06,0.122160044,0,0,0,0
20.1,6.09E-07,79.0613037,0.07689405,6.68E-06,0.12227783,0,0,0,0
20.11,5.95E-07,79.3308451,0.076921921,6.01E-06,0.122395616,0,0,0,0
20.12,5.95E-07,79.2388671,0.076941863,5.10E-06,0.122513402,0,0,0,0
20.13,5.60E-07,78.7784075,0.076969592,3.21E-06,0.122631188,0,0,0,0
20.14,5.21E-07,78.2197725,0.077011201,1.68E-07,0.122748974,0,0,0,0
20.15,4.79E-07,77.9214843,0.077058952,2.06E-06,0.12286676,0,0,0,0
20.16,4.34E-07,78.537855,0.077110974,3.44E-06,0.122984546,0,0,0,0
20.17,3.85E-07,78.9659283,0.077166767,2.60E-06,0.123102332,0,0,0,0
20.18,3.33E-07,79.0189351,0.077224286,3.67E-07,0.123220118,0,0,0,0
20.19,2.72E-07,78.6243949,0.077291294,1.33E-06,0.123337903,0,0,0,0
20.2,2.16E-07,78.0291105,0.07737132,2.48E-06,0.123455689,0,0,0,0
20.21,1.70E-07,77.6289324,0.07745441,2.69E-06,0.123573475,0,0,0,0
20.22,1.26E-07,77.690206,0.077538822,2.49E-06,0.123691261,0,0,0,0
20.23,7.84E-08,78.1570454,0.077628742,2.42E-06,0.123809047,0,0,0,0
20.24,3.11E-08,78.6840667,0.077721059,2.45E-06,0.123926833,0,0,0,0
20.25,2.30E-09,78.8779608,0.077816273,2.10E-06,0.124044619,0,0,0,0
20.26,0,78.5773991,0.077915751,1.43E-06,0.124162405,0,0,0,0
20.27,0,77.9723294,0.078013311,5.60E-07,0.124280191,0,0,0,0
20.28,0,77.4768708,0.078110576,1.47E-07,0.124397977,0,0,0,0
20.29,0,77.4400208,0.078201264,3.90E-09,0.124515762,0,0,0,0
20.3,0,77.897597,0.078282403,1.56E-07,0.124633548,0,0,0,0
20.31,0,78.5442253,0.078373021,1.01E-07,0.124751334,0,0,0,0
20.32,0,78.9472455,0.078464885,1.15E-07,0.12486912,0,0,0,0
20.33,0,78.8525156,0.078585869,1.68E-07,0.124986906,0,0,0,0
20.34,0,78.3644233,0.07872583,9.26E-08,0.125104692,0,0,0,0
20.35,2.30E-08,77.8720804,0.078872281,8.79E-09,0.125222478,0,0,0,0
20.36,5.65E-08,77.7734854,0.079024901,9.86E-08,0.125340264,0,0,0,0
20.37,9.95E-08,78.1931787,0.079173603,2.24E-08,0.12545805,0,0,0,0
20.38,1.56E-07,78.8887605,0.079320263,1.75E-07,0.125575836,0,0,0,0
20.39,2.19E-07,79.4176534,0.079469718,7.78E-07,0.125693621,0,0,0,0
20.4,2.87E-07,79.4471594,0.079618614,1.40E-06,0.125811407,0,0,0,0
20.41,3.61E-07,78.9899191,0.079784518,1.62E-06,0.125929193,0,0,0,0
20.42,4.48E-07,78.396359,0.079957185,1.39E-06,0.126046979,0,0,0,0
20.43,5.41E-07,78.111144,0.080164255,9.82E-07,0.126164765,0,0,0,0
20.44,6.47E-07,78.3670103,0.080388654,6.01E-07,0.126282551,0,0,0,0
20.45,7.52E-07,79.0275677,0.080626245,5.03E-07,0.126400337,0,0,0,0
20.46,8.59E-07,79.6852877,0.080868565,5.21E-07,0.126518123,0,0,0,0
20.47,9.73E-07,79.9445847,0.081109425,3.40E-07,0.126635909,0,0,0,0
20.48,1.10E-06,79.6938053,0.081350249,6.18E-08,0.126753695,0,0,0,0
20.49,1.23E-06,79.1747104,0.081593082,3.70E-07,0.12687148,0,0,0,0
20.5,1.34E-06,78.8072078,0.081838305,8.39E-07,0.126989266,0,0,0,0
20.51,1.43E-06,78.8949443,0.082083433,7.17E-07,0.127107052,0,0,0,0
