Wavelength,ZnS 6.25-12.5µm (MIRMIS),CdTe 12.5-25µm (MIRMIS),Mesh 25-50µm (MIRMIS),Mesh 50-100µm (MIRMIS),Mesh 100-200µm (Cardiff),Low-pass 200µm (model),8.5-9.2µm (model filter),6.6-8.2µm (model filter),NaCl Spectrum
5.82,0.013574728,0.00351018,4.25E-06,0,0,0,0,0,69.45690354
5.83,0.020531962,0.00844554,7.54E-06,0,0,0,0,0,68.40002472
5.84,0.031262525,0.00863679,6.05E-07,0,0,0,0,0,67.3431459
5.85,0.047598176,0.000924211,3.47E-06,0,0,0,0,0,66.20198076
5.86,0.071839405,0.0138953,8.91E-06,0,0,0,0,0,65.04980272
5.87,0.107405912,0.00186405,1.83E-07,0,0,0,0,0,63.86299102
5.88,0.157603527,0.00201967,8.47E-07,0,0,0,0,0,62.65029458
5.89,0.226897903,0.0147854,8.52E-07,0,0,0,0,0,61.42684352
5.9,0.31462241,0.00507484,1.31E-06,0,0,0,0,0,60.16966055
5.91,0.417503121,0,2.27E-06,0,0,0,0,0,58.91247758
5.92,0.534013215,0.00414366,6.33E-06,0,0,0,0,0,57.69876121
5.93,0.663143076,0.0111471,5.74E-06,0,0,0,0,0,56.49046516
5.94,0.803997822,0.00263605,8.06E-06,0,0,0,0,0,55.30230724
5.95,0.960034601,0.0138409,1.11E-05,0,0,0,0,0,54.13265324
5.96,1.140228052,0.00466988,1.05E-05,0,0,0,0,0,52.98092282
5.97,1.35047511,0.005957,2.00E-06,0,0,0,0,0,51.9449098
5.98,1.597972713,0.00624651,1.74E-07,0,0,0,0,0,50.90889678
5.99,1.89157653,0.00590495,1.07E-05,0,0,0,0,0,49.95598979
6,2.245597472,0.0054642,5.83E-06,0,0,0,0,0,49.0341632
6.01,2.653653395,0.00677271,2.35E-06,0,0,0,0,0,48.16628635
6.02,3.137772058,0.00751804,8.46E-06,0,0,0,0,0,47.42310789
6.03,3.71000183,0.00926032,7.27E-06,0,0,0,0,0,46.67992943
6.04,4.382446861,0.000313573,1.47E-06,0,0,0,0,0,46.09931154
6.05,5.156334992,0.00215186,6.15E-06,0,0,0,0,0,45.54594813
6.06,6.038895611,0,2.81E-06,0,0,0,0,0,45.09181508
6.07,7.054717396,0.000644071,6.82E-06,0,0,0,0,0,44.79233646
6.08,8.182058718,0.00312666,6.26E-06,0,0,0,0,0,44.49285783
6.09,9.434742451,0.00274255,9.18E-06,0,0,0,0,0,44.38651499
6.1,10.81659106,0.00433578,7.93E-06,0,0,0,0,0,44.30131215
6.11,12.31437677,0.0103639,7.17E-07,0,0,0,0,0,44.32913596
6.12,13.92486525,0.0122413,9.28E-06,0,0,0,0,0,44.53006742
6.13,15.66139525,0.00064402,6.98E-06,0,0,0,0,0,44.73099889
6.14,17.51180047,0.000997365,1.93E-05,0,0,0,0,0,45.19136762
6.15,19.49570601,0.00301152,1.27E-05,0,0,0,0,0,45.69121146
6.16,21.63168743,0.000867386,1.06E-05,0,0,0,0,0,46.28774293
6.17,23.89466587,0.00504031,9.85E-06,0,0,0,0,0,47.08986966
6.18,26.31613413,0,1.62E-05,0,0,0,0,0,47.89199639
6.19,28.93443129,2.79E-05,1.19E-05,0,0,0,0,0,48.83897471
6.2,31.73901179,0.00724849,1.53E-05,0,0,0,0,0,49.83410525
6.21,34.7846147,0.0227836,1.70E-05,0,0,0,0,0,50.84359228
6.22,38.08043426,0.0281928,2.43E-05,0,0,0,0,0,51.92865861
6.23,41.63941878,0.0371396,1.32E-05,0,0,0,0,0,53.01372494
6.24,45.47185525,0.0567718,1.81E-05,0,0,0,0,0.000153259,54.06244803
6.25,49.54951198,0.0553299,1.98E-05,0,0,0,0,0.000371376,55.08059079
6.26,53.84316106,0.0661523,2.24E-05,0,0,0,0,0.000854091,56.09873355
6.27,58.30097087,0.0497765,3.04E-05,0,0,0,0,0.001869192,57.02409395
6.28,62.8396887,0.0204318,2.23E-05,0,0,0,0,0.003902765,57.94008191
6.29,67.33948489,0.0317428,3.13E-05,0,0,0,0,0.007793288,58.82546208
6.3,71.66539588,0.0214349,2.43E-05,0,0,0,0,0.014918105,59.61954776
