Wavelength,Ge 7µm ,Ge 7.25µm,Ge 7.5µm,Ge 7.8µm,Ge 8µm,Ge 8.28µm,Ge 8.55µm,Ge 8.75µm,Ge 9µm,Ge 9.5µm,Ge 10µm,ZnS 6.25-12.5µm,CdTe 12.5-25µm,Mesh 25-50µm,Mesh 50-100µm,Unfiltered,Perfect square filter 8.5-9.5µm (for 9µm NaCl peak),Mesh 100-200µm (Cardiff),Low pass filter?
5.31,5.60E-05,0.000195845,0.000354386,0.000167867,6.53E-05,8.39E-05,7.46E-05,6.53E-05,9.33E-06,9.33E-06,0,0,0.00377929,0.000365829,0,100,0,0,
5.32,5.59E-05,0.000195822,0.000400968,0.000186497,6.53E-05,8.39E-05,7.46E-05,6.53E-05,9.32E-06,9.32E-06,0,0,0.00338436,0.000347203,0,100,0,0,
5.33,5.60E-05,0.000195837,0.00041965,0.000214488,6.53E-05,9.33E-05,8.39E-05,6.53E-05,9.33E-06,9.33E-06,0,0,0.00761219,0.000324573,0,100,0,0,
5.34,5.60E-05,0.000205173,0.000410346,0.000261129,6.53E-05,0.000102586,9.33E-05,7.46E-05,9.33E-06,9.33E-06,0,0,0.00998084,0.000302173,0,100,0,0,
5.35,5.60E-05,0.00020519,0.000373073,0.000307786,6.53E-05,0.000111922,0.000102595,7.46E-05,1.87E-05,9.33E-06,0,0,0.0118578,0.000277935,0,100,0,0,
5.36,4.66E-05,0.000223917,0.000326546,0.000373195,7.46E-05,0.000130618,0.000121288,8.40E-05,1.87E-05,9.33E-06,0,0,0.00545244,0.00025359,0,100,0,0,
5.37,3.73E-05,0.000233156,0.000289113,0.000447659,7.46E-05,0.000158546,0.000139893,9.33E-05,9.33E-06,9.33E-06,0,0,0.00289911,0.000220911,0,100,0,0,
5.38,3.73E-05,0.000251755,0.000251755,0.000522159,8.39E-05,0.00019581,0.000167837,0.000111891,9.32E-06,9.32E-06,0,0,0.00184127,0.000206369,0,100,0,0,
5.39,2.80E-05,0.000270399,0.000233102,0.000596742,9.32E-05,0.000233102,0.000214454,0.000139861,9.32E-06,9.32E-06,9.32E-06,0,0.0021432,0.000179332,0,100,0,0,
5.4,1.87E-05,0.000289133,0.000214518,0.000643554,0.000111922,0.000289133,0.000261152,0.000167884,9.33E-06,9.33E-06,9.33E-06,0,0.00377299,0.00015413,0,100,0,0,
5.41,1.87E-05,0.000317177,0.000195903,0.000653011,0.000139931,0.000326505,0.000307848,0.000205232,9.33E-06,9.33E-06,9.33E-06,0,0.00525878,0.000139839,0,100,0,0,
5.42,9.33E-06,0.000326725,0.0001867,0.00063478,0.00016803,0.000345395,0.00035473,0.00024271,9.33E-06,9.33E-06,9.33E-06,0,0.00146698,0.000114965,0,100,0,0,
5.43,9.33E-06,0.00032664,0.000186651,0.000587951,0.000214649,0.000335972,0.00036397,0.000279977,9.33E-06,9.33E-06,9.33E-06,0,0.00586362,0.000106763,0,100,0,0,
5.44,9.33E-06,0.000317182,0.000186577,0.000531746,0.000261208,0.000289195,0.000335839,0.000289195,9.33E-06,9.33E-06,0,0,0.00171862,8.90E-05,0,100,0,0,
5.45,9.33E-06,0.000279902,0.000186602,0.000475834,0.000307893,0.000242582,0.000298563,0.000279902,0,9.33E-06,0,0,0.00595957,7.56E-05,0,100,0,0,
5.46,9.33E-06,0.000233353,0.000186682,0.000438703,0.000336028,0.00020535,0.000252021,0.000242687,0,9.33E-06,0,0,0.00487088,6.58E-05,0,100,0,0,
5.47,9.34E-06,0.000196066,0.000205403,0.000401469,0.000336113,0.000168057,0.000214739,0.000205403,0,0,0,0,0.00243079,5.39E-05,0,100,0,0,
5.48,9.33E-06,0.000149314,0.000214638,0.000373284,0.000307959,0.000139981,0.00017731,0.000167978,0,0,0,0,0.00636524,4.53E-05,0,100,0,0,
5.49,9.33E-06,0.000111954,0.000233237,0.00035452,0.000270555,0.000121283,0.000158601,0.000139942,0,0,0,0,0.00423829,3.23E-05,0,100,0,0,
5.5,9.33E-06,9.33E-05,0.000261237,0.000335876,0.000233247,0.000111959,0.000139948,0.000121288,9.33E-06,0,0,0,0.00396176,2.61E-05,0,100,0,0,
5.51,9.33E-06,6.53E-05,0.000317191,0.000345179,0.000186583,0.000102621,0.000121279,0.000102621,9.33E-06,0,9.33E-06,0,0.00599768,1.35E-05,0,100,0,0,
5.52,9.33E-06,5.60E-05,0.000363866,0.000345207,0.000167938,9.33E-05,0.000121289,9.33E-05,9.33E-06,0,9.33E-06,9.33E-06,0.00489425,1.44E-05,0,100,0,0,
5.53,9.33E-06,4.67E-05,0.000429228,0.00035458,0.000149297,9.33E-05,0.000111973,8.40E-05,9.33E-06,0,9.33E-06,9.33E-06,0.00347509,8.46E-06,0,100,0,0,
5.54,9.33E-06,3.73E-05,0.000513306,0.000373314,0.00013066,9.33E-05,0.000111994,8.40E-05,9.33E-06,0,9.33E-06,9.33E-06,0.00923612,1.43E-05,0,100,0,0,
5.55,9.34E-06,2.80E-05,0.00060683,0.000392105,0.000121366,9.34E-05,0.00011203,7.47E-05,9.34E-06,0,9.34E-06,9.34E-06,0.00508572,4.67E-06,0,100,0,0,
5.56,9.33E-06,2.80E-05,0.000699878,0.000429258,0.00011198,0.000102649,0.000121312,7.47E-05,1.87E-05,0,9.33E-06,9.33E-06,0.00690824,7.97E-06,0,100,0,0,
5.57,9.33E-06,2.80E-05,0.000793203,0.000475922,0.000111982,0.00010265,0.000121313,8.40E-05,1.87E-05,9.33E-06,9.33E-06,9.33E-06,0.00608612,9.66E-06,0,100,0,0,
5.58,9.34E-06,1.87E-05,0.000868196,0.00053212,0.000112025,0.000121361,0.000130696,8.40E-05,2.80E-05,9.34E-06,9.34E-06,1.87E-05,0.00146002,2.63E-06,0,100,0,0,
5.59,9.33E-06,1.87E-05,0.000895899,0.000597266,0.000111987,0.000130652,0.000139984,9.33E-05,2.80E-05,9.33E-06,9.33E-06,1.87E-05,0.00284776,2.53E-06,0,100,0,0,
5.6,9.34E-06,1.87E-05,0.00089627,0.000690875,0.000112034,0.000149378,0.000158715,9.34E-05,3.73E-05,9.34E-06,9.34E-06,1.87E-05,0.00537434,2.40E-06,0,100,0,0,
