Wavelength,Ge 7µm ,Ge 7.25µm,Ge 7.5µm,Ge 7.8µm,Ge 8µm,Ge 8.28µm,Ge 8.55µm,Ge 8.75µm,Ge 9µm,Ge 9.5µm,Ge 10µm,ZnS 6.25-12.5µm,CdTe 12.5-25µm,Mesh 25-50µm,Mesh 50-100µm,Unfiltered,Perfect square filter 8.5-9.5µm (for 9µm NaCl peak),Mesh 100-200µm (Cardiff),Low pass filter?
18.43,0.003202353,0.003846328,0.007046152,0.003734154,0.002895767,0.0077353,0.004670095,0.004479378,0.003545743,0.000113221,5.80E-06,1.83E-08,79.9594341,0.082340567,1.09E-06,100,0,0.102607585,
18.44,0.003665204,0.00438134,0.007842561,0.004291276,0.003581037,0.009402473,0.005586281,0.005471081,0.004029404,0.000134729,6.70E-06,2.09E-08,78.8331078,0.082338192,2.37E-06,100,0,0.102725371,
18.45,0.004129317,0.004912933,0.008596229,0.004854712,0.004360287,0.011192084,0.00655149,0.006554382,0.004501332,0.000157775,7.63E-06,2.74E-08,78.546113,0.082321144,3.08E-06,100,0,0.102843157,
18.46,0.004251137,0.00503434,0.008614126,0.00501901,0.004852018,0.012104605,0.006991266,0.007146266,0.004589527,0.000168798,7.94E-06,2.82E-08,78.6839856,0.082287164,3.18E-06,100,0,0.102960943,
18.47,0.004367629,0.00514848,0.008618765,0.005178655,0.005388025,0.012984541,0.007412011,0.007740604,0.00466498,0.000180183,8.24E-06,2.90E-08,79.0696685,0.082250897,2.57E-06,100,0,0.103078729,
18.48,0.004486231,0.005264164,0.00862576,0.005342449,0.005980467,0.013834222,0.007819523,0.008340691,0.004736138,0.000192249,8.55E-06,2.97E-08,79.334055,0.08221189,2.08E-06,100,0,0.103196515,
18.49,0.004377282,0.005113114,0.008204754,0.005235745,0.006302782,0.013906237,0.007798746,0.008491268,0.004563903,0.000194808,8.42E-06,3.31E-08,78.5841158,0.082162585,1.93E-06,100,0,0.1033143,
18.5,0.004098052,0.004765495,0.007492295,0.00492372,0.006368963,0.013319582,0.00742681,0.008246994,0.004216939,0.00018937,7.97E-06,3.09E-08,77.8520106,0.082097661,1.92E-06,100,0,0.103432086,
18.51,0.0038175,0.004419531,0.006811252,0.004607479,0.006397205,0.012605897,0.007003117,0.007921952,0.003874648,0.000183129,7.49E-06,2.88E-08,77.3770299,0.082019017,1.94E-06,100,0,0.103549872,
18.52,0.003492698,0.004025767,0.006085035,0.004234952,0.006302372,0.011637942,0.006454775,0.007427891,0.003494756,0.0001739,6.92E-06,2.63E-08,77.3755057,0.081967467,2.11E-06,100,0,0.103667658,
18.53,0.002910276,0.003340229,0.004954289,0.003545727,0.005645416,0.009722322,0.005393691,0.006304127,0.002868889,0.000150357,5.82E-06,2.46E-08,77.724771,0.081927209,2.47E-06,100,0,0.103785444,
18.54,0.00232514,0.002657416,0.003869674,0.002846617,0.004837986,0.007739392,0.004302081,0.005098205,0.002257379,0.000124631,4.69E-06,1.96E-08,77.9827717,0.081912717,2.77E-06,100,0,0.10390323,
18.55,0.001739137,0.001979356,0.002831168,0.002139659,0.003871005,0.005734729,0.00319878,0.003836453,0.001662443,9.67E-05,3.54E-06,1.46E-08,77.4532257,0.081886586,2.44E-06,100,0,0.104021016,
18.56,0.001083327,0.001227839,0.001725939,0.001339444,0.002571089,0.003520372,0.001972853,0.002390229,0.001019393,6.25E-05,2.23E-06,9.09E-09,76.7270282,0.081851818,1.61E-06,100,0,0.104138802,
18.57,0.000396726,0.00044779,0.000618889,0.000492981,0.001000155,0.001264567,0.000712693,0.000870664,0.000367432,2.37E-05,8.22E-07,3.32E-09,76.2306931,0.081784214,9.14E-07,100,0,0.104256588,
18.58,0,0,0,0,0,0,0,0,0,0,0,0,76.2416083,0.081710806,4.84E-07,100,0,0.104374374,
18.59,0,0,0,0,0,0,0,0,0,0,0,0,77.1869748,0.081629258,4.73E-07,100,0,0.104492159,
18.6,0,0,0,0,0,0,0,0,0,0,0,0,77.3373366,0.08156095,1.31E-06,100,0,0.104609945,
18.61,0,0,0,0,0,0,0,0,0,0,0,0,76.9882213,0.081501879,2.80E-06,100,0,0.104727731,
18.62,0,0,0,0,0,0,0,0,0,0,0,0,76.3556841,0.08146817,6.10E-06,100,0,0.104845517,
18.63,0,0,0,0,0,0,0,0,0,0,0,0,75.8380639,0.081432848,1.00E-05,100,0,0.104963303,
18.64,0,0,0,0,0,0,0,0,0,0,0,0,76.2740474,0.081386243,1.39E-05,100,0,0.105081089,
18.65,0,0,0,0,0,0,0,0,0,0,0,0,76.8354765,0.081319346,1.48E-05,100,0,0.105198875,
18.66,0,0,0,0,0,0,0,0,0,0,0,0,77.0942451,0.081237581,1.39E-05,100,0,0.105316661,
18.67,0,0,0,0,0,0,0,0,0,0,0,0,76.8348411,0.08116538,9.20E-06,100,0,0.105434447,
18.68,0,0,0,0,0,0,0,0,0,0,0,0,76.2097395,0.081093519,5.67E-06,100,0,0.105552233,
18.69,0,0,0,0,0,0,0,0,0,0,0,0,75.4923174,0.081019131,3.80E-06,100,0,0.105670018,
18.7,8.88E-05,9.51E-05,0.000109837,0.00011813,0.000289293,0.000180407,0.000109798,0.000134157,6.71E-05,8.46E-06,2.07E-07,7.90E-10,75.864743,0.080930045,5.30E-06,100,0,0.105787804,
18.71,0.00123665,0.001319755,0.001507732,0.00165505,0.003943714,0.002420028,0.001477378,0.001798803,0.000921188,0.000122149,2.92E-06,1.10E-08,76.4655583,0.080828345,8.62E-06,100,0,0.10590559,
18.72,0.002395938,0.002547004,0.002878852,0.003224309,0.007444762,0.004515999,0.00276403,0.003353436,0.001759144,0.00024529,5.71E-06,2.11E-08,76.8471333,0.080733791,1.32E-05,100,0,0.106023376,
18.73,0.003610393,0.003823154,0.004276769,0.004885639,0.010891954,0.006558028,0.004022303,0.004862703,0.002613294,0.000383136,8.69E-06,3.17E-08,76.7208159,0.080635952,1.57E-05,100,0,0.106141162,
18.74,0.004923458,0.005193456,0.005751715,0.006699641,0.014377938,0.008623697,0.005297996,0.006382419,0.003513962,0.000541624,1.20E-05,4.30E-08,75.5802587,0.080515002,1.45E-05,100,0,0.106258948,
18.75,0.006249554,0.006566885,0.007202524,0.008551683,0.017622763,0.010562362,0.006496959,0.007799746,0.00439899,0.00071278,1.54E-05,5.98E-08,75.3919933,0.080376749,1.31E-05,100,0,0.106376734,
18.76,0.007590379,0.007945167,0.008632717,0.010444664,0.020626231,0.012386966,0.007625527,0.009123709,0.005270225,0.000897631,1.89E-05,7.23E-08,75.7527964,0.080219132,1.18E-05,100,0,0.10649452,
18.77,0.008608644,0.008976555,0.009665037,0.011912435,0.022508403,0.013574959,0.008360546,0.009970305,0.005897201,0.001055733,2.16E-05,8.16E-08,76.4221362,0.080080571,1.18E-05,100,0,0.106612306,
18.78,0.009566918,0.009937747,0.010606163,0.013313068,0.02403952,0.014588111,0.008985287,0.010681273,0.006467123,0.001216854,2.43E-05,9.02E-08,76.9393944,0.079947738,1.06E-05,100,0,0.106730092,
18.79,0.010537206,0.010904067,0.011538726,0.014746091,0.025425069,0.015548992,0.009574758,0.011347077,0.00703031,0.001390306,2.71E-05,9.88E-08,76.954172,0.079817918,8.41E-06,100,0,0.106847877,
18.8,0.011294614,0.011643612,0.012220144,0.015895451,0.026155283,0.016140884,0.009933711,0.011737677,0.007438924,0.001546141,2.93E-05,1.05E-07,75.8825105,0.07968417,5.63E-06,100,0,0.106965663,
18.81,0.011538156,0.011849834,0.012337763,0.016330195,0.025636256,0.015980914,0.009826961,0.011578551,0.00750316,0.001639045,3.03E-05,1.07E-07,75.6242504,0.079543958,2.78E-06,100,0,0.107083449,
18.82,0.011786436,0.012059385,0.012459419,0.016776234,0.025124928,0.015833851,0.009725732,0.011428009,0.007568955,0.001737797,3.13E-05,1.09E-07,75.9293222,0.079407614,1.30E-06,100,0,0.107201235,
18.83,0.012037148,0.012269863,0.012582625,0.017230397,0.024620867,0.015696194,0.009628087,0.011283665,0.007634807,0.001842459,3.24E-05,1.20E-07,76.6253062,0.07927314,2.43E-07,100,0,0.107319021,
18.84,0.011772818,0.01195577,0.012172342,0.016947821,0.023111966,0.01491222,0.009132687,0.010676229,0.007376487,0.001871161,3.21E-05,1.17E-07,77.2658408,0.07910459,4.47E-07,100,0,0.107436807,
18.85,0.011339868,0.011473445,0.011600051,0.016417427,0.021375482,0.013963103,0.008536041,0.009954743,0.007020095,0.001871972,3.13E-05,1.12E-07,77.4481054,0.078932455,9.77E-07,100,0,0.107554593,
18.86,0.01090365,0.010991442,0.011038005,0.01587571,0.019744695,0.013060915,0.007968586,0.00927155,0.006670248,0.001869959,3.05E-05,1.07E-07,76.529099,0.078753321,1.17E-06,100,0,0.107672379,
18.87,0.010392113,0.010437287,0.010413257,0.015216677,0.01808834,0.012118106,0.007377493,0.008564749,0.006283435,0.001852096,2.94E-05,1.02E-07,76.2072968,0.078600536,4.87E-08,100,0,0.107790165,
18.88,0.009606207,0.009612315,0.009529453,0.014144362,0.016080857,0.010911339,0.00662822,0.007678199,0.005742621,0.001779854,2.76E-05,9.33E-08,76.4302758,0.078469923,1.85E-06,100,0,0.107907951,
18.89,0.008811715,0.008784973,0.008655918,0.013046892,0.014196719,0.009756248,0.005912641,0.006834966,0.005208896,0.001697825,2.56E-05,8.50E-08,77.1118632,0.078364363,1.64E-06,100,0,0.108025736,
18.9,0.008005827,0.00795246,0.007789266,0.01191977,0.012423089,0.008646094,0.005226841,0.006030027,0.004680363,0.001604603,2.36E-05,7.67E-08,77.8481236,0.078266951,4.84E-07,100,0,0.108143522,
18.91,0.007213414,0.00713943,0.006952932,0.010799818,0.010789411,0.007603878,0.004584792,0.005279064,0.004171193,0.0015044,2.16E-05,6.87E-08,78.2069569,0.078193689,3.45E-06,100,0,0.108261308,
18.92,0.00642321,0.006334538,0.006134987,0.009670298,0.009268083,0.006613177,0.003976573,0.004570172,0.003674294,0.001394349,1.95E-05,5.57E-08,77.5426925,0.078125586,4.93E-06,100,0,0.108379094,
18.93,0.005623658,0.005526303,0.005323661,0.008513674,0.007834138,0.005658721,0.003393007,0.003892434,0.003182718,0.001271072,1.73E-05,4.84E-08,77.1810999,0.078065755,4.10E-06,100,0,0.10849688,
18.94,0.004828636,0.004728327,0.004531478,0.007350731,0.006499627,0.004751567,0.002840718,0.003253134,0.00270404,0.001136702,1.51E-05,4.13E-08,77.289881,0.078009446,9.00E-07,100,0,0.108614666,
18.95,0.004281799,0.004178215,0.00398436,0.006554469,0.00557366,0.004123042,0.002457502,0.0028095,0.00237288,0.001050163,1.36E-05,3.63E-08,77.8779333,0.077954967,7.09E-06,100,0,0.108732452,
18.96,0.003727328,0.003624587,0.003439838,0.005737336,0.004695915,0.003514211,0.00208811,0.002383252,0.002044359,0.000952739,1.20E-05,3.14E-08,78.6193424,0.077957229,1.01E-05,100,0,0.108850238,
18.97,0.003165015,0.003067248,0.002897436,0.004898763,0.003862456,0.002923481,0.001731574,0.001973144,0.001718277,0.0008434,1.04E-05,2.65E-08,79.0890892,0.077971542,1.14E-05,100,0,0.108968024,
18.98,0.00277073,0.002676057,0.002516627,0.004312191,0.003277939,0.002508774,0.001481111,0.001685095,0.001489069,0.000769954,9.25E-06,2.30E-08,78.6701361,0.078017352,8.57E-06,100,0,0.10908581,
18.99,0.002572096,0.002475902,0.002318386,0.004025127,0.002952317,0.002284243,0.001344079,0.00152685,0.001368537,0.000745591,8.73E-06,2.12E-08,78.293115,0.078050976,6.48E-06,100,0,0.109203595,
19,0.002370566,0.002274372,0.002120859,0.003730167,0.002642066,0.002066019,0.00121157,0.001374259,0.001248861,0.000717019,8.18E-06,1.94E-08,78.2952174,0.078070378,4.98E-06,100,0,0.109321381,
19.01,0.002166073,0.002071399,0.001923886,0.003427099,0.002345961,0.001853601,0.001083273,0.001226933,0.001129976,0.000683806,7.61E-06,1.60E-08,78.7670083,0.078077208,5.94E-06,100,0,0.109439167,
19.02,0.002330624,0.002221588,0.002055463,0.003707637,0.002454779,0.001959325,0.001141074,0.001290539,0.001204049,0.000768105,8.33E-06,1.71E-08,79.4759799,0.078087599,7.55E-06,100,0,0.109556953,
19.03,0.002559382,0.002431903,0.002241755,0.004093782,0.002623601,0.002114878,0.001227325,0.001386121,0.001309551,0.000880779,9.31E-06,1.86E-08,80.0452312,0.078153609,1.07E-05,100,0,0.109674739,
19.04,0.002790136,0.002642879,0.002427599,0.004487169,0.002785707,0.00226732,0.0013111,0.001478671,0.001414062,0.001002822,1.03E-05,2.02E-08,80.2252195,0.078233114,1.35E-05,100,0,0.109792525,
19.05,0.003126044,0.002951947,0.002702265,0.005054657,0.00304208,0.002499402,0.001440096,0.001621922,0.001569393,0.001173618,1.18E-05,2.24E-08,79.8447314,0.078346364,1.53E-05,100,0,0.109910311,
19.06,0.003794124,0.003571979,0.003259177,0.006168074,0.003601355,0.002986202,0.001714322,0.001928153,0.001887034,0.001488081,1.46E-05,2.70E-08,79.8980882,0.078460273,1.52E-05,100,0,0.110028097,
19.07,0.00447223,0.004197862,0.003818264,0.007309617,0.004143467,0.003466631,0.001982826,0.002227155,0.002203745,0.001832527,1.75E-05,3.16E-08,80.3385251,0.078573659,1.38E-05,100,0,0.110145883,
19.08,0.005161938,0.004831109,0.00438108,0.00848216,0.004671315,0.003942552,0.002246711,0.002520202,0.002520325,0.002209802,2.06E-05,3.62E-08,80.9992349,0.078661501,1.32E-05,100,0,0.110263669,
19.09,0.006027181,0.005624742,0.00508616,0.009956827,0.005331165,0.004537978,0.002576399,0.002886219,0.002916086,0.002695544,2.46E-05,4.20E-08,81.5553644,0.078741657,1.29E-05,100,0,0.110381454,
19.1,0.007018321,0.006531327,0.005889765,0.011655827,0.006071729,0.005211516,0.002947722,0.003297878,0.003365109,0.003278705,2.92E-05,4.85E-08,81.7576912,0.078795468,1.46E-05,100,0,0.11049924,
19.11,0.00802437,0.007447051,0.006697992,0.01339715,0.006794304,0.005879223,0.00331287,0.003701597,0.003813227,0.003914954,3.41E-05,5.50E-08,81.6061714,0.0788515,1.61E-05,100,0,0.110617026,
19.12,0.009045505,0.008372173,0.00751131,0.015181486,0.007500668,0.006542026,0.003672418,0.004098042,0.004260559,0.004607516,3.92E-05,6.16E-08,81.2719329,0.078907491,1.79E-05,100,0,0.110734812,
19.13,0.010053749,0.009280964,0.008306932,0.016962018,0.008169618,0.007180739,0.00401566,0.004475309,0.004694084,0.005344511,4.45E-05,6.79E-08,81.553723,0.078971065,1.99E-05,100,0,0.110852598,
19.14,0.011076972,0.01019938,0.009108444,0.018785624,0.00882611,0.007816471,0.004354525,0.004846759,0.005127081,0.006142258,5.01E-05,6.68E-08,82.093046,0.079039371,2.21E-05,100,0,0.110970384,
19.15,0.012115311,0.01112766,0.009916266,0.020652871,0.009471535,0.00845002,0.00468948,0.005212927,0.005559644,0.007003193,5.60E-05,7.25E-08,82.6203995,0.079112302,2.26E-05,100,0,0.11108817,
19.16,0.013067361,0.011973018,0.010648113,0.022390353,0.010029272,0.009012132,0.004982266,0.005531356,0.005945679,0.00786821,6.18E-05,7.76E-08,82.8856644,0.079187517,2.23E-05,100,0,0.111205956,
19.17,0.013782803,0.01259883,0.011183406,0.02373684,0.01039126,0.009403164,0.005178483,0.005741903,0.006218574,0.008636997,6.66E-05,8.12E-08,82.8293505,0.079257636,2.03E-05,100,0,0.111323742,
19.18,0.014506724,0.01323033,0.011723,0.025110285,0.010749767,0.009794477,0.005373229,0.005950302,0.006490848,0.009451007,7.18E-05,8.49E-08,82.6131198,0.079333593,1.88E-05,100,0,0.111441528,
19.19,0.015242245,0.013870455,0.012269648,0.026516206,0.011107643,0.010188557,0.005567871,0.006158067,0.006763944,0.010311428,7.72E-05,8.85E-08,82.4966657,0.079416242,1.99E-05,100,0,0.111559313,
19.2,0.015698854,0.014255523,0.0125906,0.027446932,0.011257065,0.010393419,0.005657909,0.006249753,0.006910008,0.011012981,8.14E-05,9.05E-08,83.071965,0.0795242,2.22E-05,100,0,0.111677099,
19.21,0.015977014,0.0144783,0.012768831,0.028071586,0.011279091,0.010480583,0.005683322,0.006269917,0.006976021,0.011604633,8.49E-05,9.14E-08,83.5624544,0.079660184,2.60E-05,100,0,0.111794885,
19.22,0.016258052,0.014703869,0.012950398,0.02870559,0.011305803,0.010571319,0.005710364,0.006291816,0.007042478,0.012205621,8.85E-05,9.23E-08,83.921998,0.079795108,3.10E-05,100,0,0.111912671,
19.23,0.016543518,0.014933688,0.013136627,0.029351675,0.011338199,0.01066668,0.005739595,0.006316064,0.007110061,0.012813137,9.23E-05,9.32E-08,84.065926,0.079927401,3.68E-05,100,0,0.112030457,
19.24,0.01654161,0.014905193,0.013095371,0.029485381,0.011177447,0.010578596,0.005672355,0.006233696,0.007057523,0.013193418,9.48E-05,9.24E-08,84.0768346,0.080014483,4.32E-05,100,0,0.112148243,
19.25,0.01651579,0.014856584,0.013037869,0.029575248,0.011008614,0.010480044,0.005600095,0.006146032,0.006996304,0.013535205,9.72E-05,9.16E-08,84.127487,0.080094755,4.81E-05,100,0,0.112266029,
19.26,0.016486049,0.014805926,0.012980125,0.029656953,0.010845282,0.010383963,0.005529608,0.006060533,0.006934777,0.0138492,9.97E-05,9.07E-08,84.3420363,0.080207502,4.40E-05,100,0,0.112383815,
19.27,0.016442388,0.014744267,0.01291426,0.029712224,0.010680676,0.01028399,0.005457477,0.005973487,0.006868783,0.014122466,0.000102263,9.97E-08,84.7016069,0.080339919,3.56E-05,100,0,0.112501601,
19.28,0.01635286,0.014643061,0.012815321,0.029682695,0.010494301,0.010160312,0.00537327,0.005873486,0.006785202,0.014322484,0.000104599,9.84E-08,85.2675829,0.080519883,1.97E-05,100,0,0.112619387,
19.29,0.016259934,0.014540451,0.012716712,0.029644596,0.010313793,0.010039562,0.005291133,0.00577602,0.006701899,0.014481663,0.000107013,9.71E-08,85.2629988,0.080703727,6.74E-06,100,0,0.112737172,
19.3,0.016165223,0.014437862,0.012619643,0.029600729,0.01013986,0.00992258,0.005211503,0.005681564,0.006619568,0.014598817,0.000109517,9.58E-08,85.1355716,0.080886265,4.07E-06,100,0,0.112854958,
19.31,0.016107785,0.014370143,0.012554538,0.02962281,0.009996431,0.009833078,0.005146757,0.005603583,0.006554094,0.014707751,0.000112378,9.47E-08,85.0473722,0.081067745,3.32E-06,100,0,0.112972744,
19.32,0.016093613,0.014342524,0.012525903,0.029722719,0.00988617,0.009774194,0.005098396,0.005543634,0.006507609,0.014813793,0.000115678,9.39E-08,85.1227117,0.081247859,8.05E-07,100,0,0.11309053,
19.33,0.016077075,0.01431423,0.012498094,0.029816728,0.009780266,0.009717855,0.005051655,0.005485613,0.006461443,0.014874797,0.000119102,1.02E-07,85.3708402,0.081420611,6.57E-06,100,0,0.113208316,
19.34,0.016058079,0.01428521,0.012471066,0.029904561,0.009678497,0.00966395,0.005006457,0.005429438,0.006415603,0.014890602,0.000122673,1.02E-07,85.6942235,0.081590092,1.03E-05,100,0,0.113326102,
19.35,0.01606109,0.014277211,0.012463802,0.03003176,0.009595315,0.009627074,0.004970324,0.005383249,0.006379815,0.014884643,0.000126578,1.01E-07,85.9661056,0.081731554,2.91E-06,100,0,0.113443888,
19.36,0.016070683,0.014276481,0.012464304,0.030169783,0.009521077,0.009597801,0.004938335,0.00534167,0.006347852,0.014843987,0.000130725,1.00E-07,86.1158248,0.08186389,9.33E-06,100,0,0.113561674,
19.37,0.016076311,0.014273669,0.012464411,0.030298803,0.00944934,0.009569778,0.004907163,0.005301119,0.006315533,0.014760876,0.000135026,9.96E-08,86.1868605,0.081984151,2.90E-05,100,0,0.11367946,
19.38,0.016079658,0.014270271,0.012465451,0.030421805,0.009381001,0.009543963,0.004877306,0.005262107,0.006283572,0.014639494,0.000139518,1.08E-07,86.2550787,0.082097065,4.52E-05,100,0,0.113797246,
19.39,0.01599061,0.014186334,0.01239755,0.030367465,0.009263731,0.009466984,0.004821571,0.005195326,0.006216935,0.014401803,0.000143397,1.07E-07,86.378516,0.082209955,5.88E-05,100,0,0.113915031,
19.4,0.015896107,0.014099042,0.012328099,0.03029946,0.009148513,0.009390525,0.004766442,0.005129407,0.006149822,0.014131739,0.0001474,1.05E-07,86.5135531,0.082312171,5.48E-05,100,0,0.114032817,
19.41,0.015799711,0.014011536,0.012259825,0.030224437,0.009037248,0.009316606,0.004712959,0.005065443,0.006083608,0.013836714,0.000151566,1.04E-07,86.6071007,0.082409861,4.46E-05,100,0,0.114150603,
19.42,0.015681225,0.013905863,0.012177002,0.030103446,0.008918277,0.00923325,0.00465505,0.004996904,0.006010564,0.013503493,0.000155694,1.02E-07,86.6415464,0.082488526,2.87E-05,100,0,0.114268389,
19.43,0.015506942,0.013752104,0.012053354,0.029871101,0.008772563,0.009120591,0.00458278,0.004913182,0.005917915,0.013108656,0.000159432,1.09E-07,86.6406908,0.082560156,1.47E-05,100,0,0.114386175,
19.44,0.01532797,0.013595536,0.011928446,0.029625016,0.008629145,0.009008627,0.004511327,0.00483057,0.005825331,0.012701213,0.00016327,1.07E-07,86.6389551,0.082605802,2.09E-05,100,0,0.114503961,
19.45,0.01514429,0.013436081,0.011802184,0.029365029,0.008487832,0.008897237,0.004440612,0.004748986,0.005732793,0.012285107,0.000167207,1.05E-07,86.6482172,0.082642882,2.99E-05,100,0,0.114621747,
19.46,0.015027502,0.01333722,0.011730351,0.029230293,0.008388415,0.008828347,0.004391498,0.004690686,0.005667299,0.01192073,0.000172058,1.04E-07,86.6543827,0.082662355,4.48E-05,100,0,0.114739533,
19.47,0.014984558,0.013305158,0.011718605,0.029235566,0.008334157,0.008805964,0.004365741,0.004657496,0.005631151,0.011612783,0.000178011,1.11E-07,86.62613,0.08268399,5.14E-05,100,0,0.114857319,
19.48,0.014940567,0.013273417,0.011708572,0.02923549,0.00828298,0.008786037,0.004341353,0.004625868,0.005596002,0.011303015,0.000184248,1.10E-07,86.6310226,0.082711914,4.81E-05,100,0,0.114975105,
19.49,0.014893602,0.013240276,0.011698725,0.029226191,0.008233738,0.0087674,0.00431775,0.004595176,0.005561142,0.01099224,0.000190759,1.09E-07,86.6740856,0.082729157,3.77E-05,100,0,0.11509289,
19.5,0.015132841,0.013462958,0.01191676,0.029776547,0.008345842,0.008920491,0.004378572,0.004654339,0.00563424,0.010890597,0.000201405,1.10E-07,86.733942,0.08273987,2.34E-05,100,0,0.115210676,
19.51,0.015505958,0.01380645,0.012244261,0.030590368,0.008534421,0.009156191,0.004479392,0.004755861,0.005757888,0.010877192,0.000214557,1.20E-07,86.7621206,0.082703126,1.78E-06,100,0,0.115328462,
19.52,0.015880502,0.014153085,0.012577419,0.031407411,0.008726438,0.009396783,0.004581906,0.004858972,0.005882731,0.010855837,0.000228563,1.22E-07,86.7219508,0.082652926,2.22E-05,100,0,0.115446248,
19.53,0.016258272,0.014504541,0.012917896,0.0322309,0.008923073,0.009643554,0.004686736,0.004964338,0.006009549,0.010829201,0.00024353,1.25E-07,86.6221807,0.082579791,5.63E-05,100,0,0.115564034,
19.54,0.01708012,0.015254629,0.013617424,0.033936434,0.00936628,0.01015898,0.004920992,0.005206424,0.006301075,0.011084614,0.000266405,1.30E-07,86.5162614,0.082505937,8.85E-05,100,0,0.11568182,
19.55,0.017972528,0.016070856,0.014381237,0.035785533,0.009851193,0.010722916,0.005177105,0.005471096,0.006619022,0.011365035,0.000292037,1.45E-07,86.4633147,0.082430991,0.000102444,100,0,0.115799606,
19.56,0.018868515,0.016893638,0.015156657,0.03764471,0.01034157,0.011296205,0.005436034,0.005738167,0.00693888,0.011627615,0.000319582,1.52E-07,86.4808419,0.082350602,0.00010464,100,0,0.115917392,
19.57,0.01978966,0.017742514,0.015961675,0.039556317,0.01084975,0.011892427,0.005704246,0.006014471,0.007268836,0.011887035,0.000349561,1.59E-07,86.5267424,0.082257202,8.14E-05,100,0,0.116035178,
19.58,0.021042703,0.018893175,0.017045545,0.042134046,0.011544599,0.01269745,0.006070503,0.006393468,0.007721682,0.012323609,0.000387847,1.78E-07,86.4230966,0.082154566,5.08E-05,100,0,0.116152964,
19.59,0.022303159,0.02005534,0.018148437,0.04472945,0.012248997,0.013517852,0.006441696,0.006776853,0.00817844,0.012739365,0.000429178,1.88E-07,86.2275436,0.082041354,1.30E-05,100,0,0.116270749,
19.6,0.023570518,0.021228798,0.019270775,0.047340436,0.01296342,0.014354232,0.006818033,0.007164856,0.008639273,0.013135934,0.00047377,1.98E-07,86.0079691,0.081914175,2.08E-05,100,0,0.116388535,
19.61,0.02483277,0.022403076,0.020403548,0.049941548,0.013681927,0.015200072,0.007196583,0.007554379,0.009100589,0.013509156,0.000521701,2.20E-07,85.846024,0.081775551,5.16E-05,100,0,0.116506321,
19.62,0.026066869,0.02355777,0.021528491,0.052484497,0.014392344,0.016041789,0.007571524,0.007939288,0.00955554,0.013850473,0.000572826,2.30E-07,85.7762142,0.081642736,6.76E-05,100,0,0.116624107,
19.63,0.027306209,0.024722818,0.02267368,0.055036046,0.015114003,0.016900858,0.007952268,0.008329515,0.010015309,0.014178445,0.000628002,2.40E-07,85.7602056,0.081513432,7.94E-05,100,0,0.116741893,
19.64,0.028550266,0.025897966,0.023839487,0.057593969,0.015847348,0.01777785,0.008339041,0.008725266,0.010480072,0.014494364,0.00068755,2.50E-07,85.7162855,0.081415158,7.22E-05,100,0,0.116859679,
19.65,0.029623308,0.026923628,0.024879168,0.059802381,0.016495262,0.018563551,0.008680702,0.00907313,0.010885655,0.014712458,0.000747401,2.59E-07,85.5829995,0.08132504,6.27E-05,100,0,0.116977465,
19.66,0.0303907,0.027676416,0.025677132,0.061387451,0.016982247,0.019171773,0.008937484,0.009331707,0.01118263,0.014774191,0.000803743,2.65E-07,85.36797,0.081244971,4.46E-05,100,0,0.117095251,
19.67,0.0311561,0.028431776,0.02648736,0.06296095,0.017477265,0.019792121,0.009198288,0.009594016,0.011482704,0.014834513,0.000864198,2.70E-07,85.14473,0.081162798,2.55E-05,100,0,0.117213037,
19.68,0.031923307,0.029193232,0.027313606,0.064529827,0.017982898,0.020427603,0.009464473,0.009861457,0.011787532,0.014895907,0.000929174,2.76E-07,84.9957657,0.081064099,3.41E-06,100,0,0.117330823,
19.69,0.032310101,0.029610509,0.027827144,0.065320578,0.018283309,0.020832364,0.009622417,0.010015789,0.011955945,0.014784014,0.000987378,2.79E-07,84.944628,0.080952471,1.74E-05,100,0,0.117448608,
19.7,0.032308863,0.029674306,0.028015169,0.065317082,0.018371498,0.020996267,0.009668433,0.010053503,0.011984334,0.014505745,0.001037171,2.78E-07,84.9321747,0.080809552,3.58E-05,100,0,0.117566394,
19.71,0.032302543,0.029734704,0.028205256,0.065293336,0.018463116,0.021164292,0.009716046,0.01009287,0.012014104,0.014239359,0.001089889,2.77E-07,84.6635196,0.080647306,4.79E-05,100,0,0.11768418,
19.72,0.032291151,0.029791585,0.028397331,0.065249423,0.018558158,0.021336501,0.009765238,0.010133871,0.012045271,0.013984475,0.00114572,2.76E-07,84.3814019,0.080458905,5.32E-05,100,0,0.117801966,
19.73,0.03186576,0.029466647,0.028229001,0.064359398,0.018420167,0.021240248,0.009691602,0.01004753,0.011924798,0.013566529,0.001189596,2.72E-07,84.1263525,0.080269302,5.43E-05,100,0,0.117919752,
19.74,0.031177999,0.028897659,0.027827349,0.062930902,0.018132944,0.02097011,0.009539264,0.009879944,0.011708027,0.013057156,0.001225274,2.66E-07,84.00762,0.080082747,5.25E-05,100,0,0.118037538,
19.75,0.030480595,0.028317554,0.027413994,0.061475299,0.017841239,0.020692489,0.009384429,0.009710155,0.011488985,0.012564703,0.001261668,2.59E-07,84.0393557,0.079909746,4.65E-05,100,0,0.118155324,
